key,value
0,94,
1,44,
2,169,
3,84,
4,74,
5,58,
6,103,
7,165,
8,57,
9,54,
10,24,
11,120,
12,125,
13,50,
14,56,
15,119,
16,50,
17,54,
18,33,
19,47,
20,98,
21,46,
22,103,
23,166,
24,106,
25,59,
26,73,
27,52,
28,9,
29,57,
30,78,
31,79,
32,21,
33,39,
34,98,
35,48,
36,48,
37,66,
38,81,
39,85,
40,54,
41,103,
42,65,
43,75,
44,65,
45,64,
46,39,
47,85,
48,33,
49,21,
50,38,
51,125,
52,118,
53,90,
54,80,
55,106,
56,46,
57,63,
58,43,
59,20,
60,68,
61,16,
62,92,
63,89,
64,85,
65,61,
66,61,
67,199,
68,175,
69,135,
70,25,
71,146,
72,92,
73,101,
74,129,
75,229,
76,49,
77,91,
78,144,
79,71,
80,79,
81,47,
82,83,
83,47,
84,34,
85,109,
86,23,
87,88,
88,34,
89,95,
90,54,
91,23,
92,87,
93,100,
94,81,
95,12,
96,61,
97,167,
98,51,
99,43,
100,44,
101,121,
102,48,
103,47,
104,30,
105,47,
106,145,
107,101,
108,129,
109,117,
110,69,
111,111,
112,121,
113,73,
114,18,
115,107,
116,64,
117,60,
118,32,
119,50,
120,49,
121,41,
122,26,
123,70,
124,78,
125,147,
126,109,
127,81,
128,99,
129,91,
130,23,
131,246,
132,139,
133,46,
134,62,
135,26,
136,193,
137,46,
138,66,
139,19,
140,76,
141,44,
142,137,
143,53,
144,59,
145,205,
146,54,
147,40,
148,91,
149,84,
150,33,
151,51,
152,98,
153,72,
154,156,
155,65,
156,83,
157,131,
158,15,
159,77,
160,68,
161,100,
162,43,
163,182,
164,77,
165,249,
166,38,
167,27,
168,91,
169,40,
170,45,
171,72,
172,94,
173,35,
174,43,
175,158,
176,53,
177,105,
178,27,
179,29,
180,109,
181,72,
182,40,
183,33,
184,113,
185,97,
186,46,
187,142,
188,132,
189,93,
190,95,
191,49,
192,44,
193,27,
194,91,
195,50,
196,87,
197,115,
198,28,
199,122,
200,47,
201,69,
202,87,
203,24,
204,57,
205,67,
206,100,
207,41,
208,68,
209,170,
210,76,
211,46,
212,78,
213,45,
214,58,
215,33,
216,78,
217,62,
218,86,
219,68,
220,85,
221,29,
222,47,
223,151,
224,40,
225,62,
226,38,
227,130,
228,41,
229,150,
230,25,
231,26,
232,69,
233,72,
234,45,
235,122,
236,121,
237,46,
238,110,
239,35,
240,27,
241,65,
242,75,
243,69,
244,42,
245,59,
246,94,
247,85,
248,16,
249,72,
250,73,
251,95,
252,134,
253,35,
254,66,
255,109,
256,59,
257,90,
258,77,
259,97,
260,101,
261,183,
262,210,
263,59,
264,34,
265,33,
266,163,
267,57,
268,109,
269,38,
270,39,
271,50,
272,104,
273,61,
274,85,
275,65,
276,48,
277,85,
278,88,
279,96,
280,12,
281,50,
282,45,
283,79,
284,70,
285,125,
286,256,
287,16,
288,36,
